E_i_MeV_per_u,z_d_D_mean_Gy,z_d_D_star_mean_Gy,z_n_D_mean_Gy
0.200000,252.926,7.892,0.3035
0.300000,355.907,7.856,0.4271
0.500000,457.817,7.890,0.5494
0.700000,464.086,8.101,0.5569
1.000000,428.702,8.736,0.5144
1.500000,379.317,10.406,0.4552
2.000000,338.000,12.452,0.4056
3.000000,271.175,16.552,0.3254
5.000000,186.128,22.290,0.2234
7.000000,137.569,24.688,0.1651
10.000000,96.083,24.637,0.1153
15.000000,61.593,21.009,0.0739
20.000000,44.161,16.833,0.0530
30.000000,27.174,10.502,0.0326
50.000000,14.479,4.426,0.0174
70.000000,9.500,2.133,0.0114
100.000000,6.057,0.863,0.0073
200.000000,2.511,0.111,0.0030
500.000000,0.779,0.007,0.0009
1000.000000,0.321,0.001,0.0004
