y_keV_per_um,f_y,yf_y,d_y,yd_y
0.01,1.21727e-06,1.21727e-08,1.97031e-08,1.97031e-10
0.0100344,1.4321e-06,1.43703e-08,2.32602e-08,2.33403e-10
0.010069,1.40113e-06,1.4108e-08,2.28358e-08,2.29933e-10
0.0101036,1.28923e-06,1.30258e-08,2.10841e-08,2.13026e-10
0.0101384,1.43025e-06,1.45004e-08,2.34709e-08,2.37957e-10
0.0101733,1.35643e-06,1.37994e-08,2.23362e-08,2.27233e-10
0.0102083,1.41128e-06,1.44068e-08,2.33193e-08,2.38051e-10
0.0102435,1.34635e-06,1.37914e-08,2.23232e-08,2.28668e-10
0.0102787,1.37277e-06,1.41103e-08,2.28395e-08,2.3476e-10
0.0103141,1.50613e-06,1.55344e-08,2.51446e-08,2.59344e-10
0.0103496,1.48801e-06,1.54003e-08,2.49275e-08,2.5799e-10
0.0103852,1.84781e-06,1.91899e-08,3.10615e-08,3.22579e-10
0.010421,1.47168e-06,1.53364e-08,2.48241e-08,2.58692e-10
0.0104568,1.78596e-06,1.86754e-08,3.02287e-08,3.16096e-10
0.0104928,1.66823e-06,1.75044e-08,2.83333e-08,2.97295e-10
0.010529,2.03439e-06,2.14201e-08,3.46713e-08,3.65054e-10
0.0105652,2.22531e-06,2.35109e-08,3.80556e-08,4.02065e-10
0.0106016,2.44346e-06,2.59046e-08,4.19301e-08,4.44526e-10
0.0106381,2.41915e-06,2.57352e-08,4.16559e-08,4.4314e-10
0.0106747,2.49299e-06,2.66119e-08,4.30751e-08,4.59814e-10
0.0107114,2.23847e-06,2.39772e-08,3.88103e-08,4.15713e-10
0.0107483,2.49647e-06,2.68328e-08,4.34326e-08,4.66827e-10
0.0107853,2.51552e-06,2.71306e-08,4.39147e-08,4.73633e-10
0.0108224,2.44543e-06,2.64655e-08,4.2838e-08,4.6361e-10
0.0108597,2.35584e-06,2.55837e-08,4.14108e-08,4.49709e-10
0.0108971,2.77719e-06,3.02634e-08,4.89854e-08,5.33799e-10
0.0109346,3.08212e-06,3.37017e-08,5.45509e-08,5.96492e-10
0.0109722,4.83964e-06,5.31015e-08,8.59521e-08,9.43084e-10
0.01101,5.23409e-06,5.76273e-08,9.32777e-08,1.02699e-09
0.0110479,5.51027e-06,6.0877e-08,9.85378e-08,1.08864e-09
0.0110859,1.74344e-05,1.93276e-07,3.12843e-07,3.46815e-09
0.0111241,2.46871e-05,2.74622e-07,4.44513e-07,4.94481e-09
0.0111624,2.42806e-05,2.7103e-07,4.387e-07,4.89694e-09
0.0112008,2.44146e-05,2.73463e-07,4.42638e-07,4.9579e-09
0.0112393,2.32959e-05,2.61829e-07,4.23807e-07,4.76329e-09
0.011278,2.33211e-05,2.63015e-07,4.25726e-07,4.80134e-09
0.0113168,2.39423e-05,2.7095e-07,4.3857e-07,4.9632e-09
0.0113558,2.37853e-05,2.70101e-07,4.37196e-07,4.96471e-09
0.0113949,2.29983e-05,2.62064e-07,4.24186e-07,4.83356e-09
0.0114341,2.25899e-05,2.58295e-07,4.18086e-07,4.78044e-09
0.0114735,2.19726e-05,2.52103e-07,4.08063e-07,4.68191e-09
0.011513,2.2883e-05,2.63452e-07,4.26434e-07,4.90954e-09
0.0115526,2.24177e-05,2.58983e-07,4.192e-07,4.84285e-09
0.0115924,2.25111e-05,2.60958e-07,4.22397e-07,4.89659e-09
0.0116323,2.26747e-05,2.63759e-07,4.2693e-07,4.96618e-09
0.0116723,2.25163e-05,2.62817e-07,4.25406e-07,4.96546e-09
0.0117125,2.24714e-05,2.63197e-07,4.2602e-07,4.98976e-09
0.0117528,2.2365e-05,2.62851e-07,4.25461e-07,5.00035e-09
0.0117933,2.18145e-05,2.57265e-07,4.1642e-07,4.91096e-09
0.0118339,2.21696e-05,2.62353e-07,4.24654e-07,5.02532e-09
0.0118746,2.10087e-05,2.4947e-07,4.03802e-07,4.79498e-09
0.0119155,2.11035e-05,2.51459e-07,4.07021e-07,4.84985e-09
0.0119565,2.20026e-05,2.63074e-07,4.25822e-07,5.09134e-09
0.0119976,2.12499e-05,2.54948e-07,4.12669e-07,4.95104e-09
0.0120389,2.15808e-05,2.59809e-07,4.20537e-07,5.0628e-09
0.0120804,2.11506e-05,2.55508e-07,4.13574e-07,4.99614e-09
0.012122,2.09188e-05,2.53578e-07,4.10451e-07,4.97549e-09
0.0121637,2.1144e-05,2.5719e-07,4.16297e-07,5.06372e-09
0.0122056,2.12656e-05,2.5956e-07,4.20133e-07,5.12798e-09
0.0122476,2.12938e-05,2.60798e-07,4.22137e-07,5.17017e-09
0.0122897,7.89081e-05,9.69757e-07,1.56969e-06,1.9291e-08
0.012332,2.07436e-05,2.55811e-07,4.14065e-07,5.10625e-09
0.0123745,2.0699e-05,2.5614e-07,4.14598e-07,5.13045e-09
0.0124171,2.11706e-05,2.62877e-07,4.25503e-07,5.28351e-09
0.0124598,2.13011e-05,2.65407e-07,4.29598e-07,5.3527e-09
0.0125027,2.02379e-05,2.53029e-07,4.09562e-07,5.12063e-09
0.0125458,2.04865e-05,2.5702e-07,4.16022e-07,5.21933e-09
0.0125889,2.01208e-05,2.53299e-07,4.09999e-07,5.16144e-09
0.0126323,2.07772e-05,2.62463e-07,4.24833e-07,5.36662e-09
0.0126758,1.96521e-05,2.49106e-07,4.03213e-07,5.11105e-09
0.0127194,1.98993e-05,2.53108e-07,4.0969e-07,5.211e-09
0.0127632,1.97375e-05,2.51914e-07,4.07757e-07,5.20428e-09
0.0128071,1.86146e-05,2.38399e-07,3.85882e-07,4.94203e-09
0.0128512,1.84802e-05,2.37492e-07,3.84414e-07,4.94018e-09
0.0128954,1.88723e-05,2.43366e-07,3.93921e-07,5.07977e-09
0.0129398,1.97585e-05,2.55671e-07,4.13838e-07,5.35498e-09
0.0129844,1.88277e-05,2.44467e-07,3.95703e-07,5.13797e-09
0.0130291,1.82638e-05,2.37961e-07,3.85173e-07,5.01845e-09
0.0130739,1.84835e-05,2.41651e-07,3.91146e-07,5.1138e-09
0.0131189,1.84031e-05,2.41428e-07,3.90785e-07,5.12667e-09
0.0131641,1.8508e-05,2.43641e-07,3.94366e-07,5.19147e-09
0.0132094,1.83592e-05,2.42514e-07,3.92543e-07,5.18526e-09
0.0132548,1.76865e-05,2.34431e-07,3.79458e-07,5.02965e-09
0.0133005,1.79838e-05,2.39194e-07,3.87168e-07,5.14953e-09
0.0133463,1.77131e-05,2.36404e-07,3.82653e-07,5.107e-09
0.0133922,1.81567e-05,2.43158e-07,3.93585e-07,5.27097e-09
0.0134383,1.83329e-05,2.46363e-07,3.98772e-07,5.35882e-09
0.0134846,1.79998e-05,2.4272e-07,3.92876e-07,5.29777e-09
0.013531,1.75685e-05,2.37719e-07,3.84781e-07,5.20647e-09
0.0135775,1.70864e-05,2.31991e-07,3.75509e-07,5.09847e-09
0.0136243,1.71641e-05,2.33849e-07,3.78517e-07,5.15702e-09
0.0136712,1.70319e-05,2.32846e-07,3.76894e-07,5.15259e-09
0.0137182,1.65655e-05,2.27249e-07,3.67833e-07,5.04601e-09
0.0137655,1.75835e-05,2.42046e-07,3.91784e-07,5.3931e-09
0.0138128,1.71036e-05,2.36248e-07,3.824e-07,5.28202e-09
0.0138604,1.74587e-05,2.41985e-07,3.91685e-07,5.42892e-09
0.0139081,1.65609e-05,2.30331e-07,3.72822e-07,5.18525e-09
0.013956,1.6567e-05,2.31209e-07,3.74244e-07,5.22295e-09
0.014004,1.58897e-05,2.22519e-07,3.60178e-07,5.04394e-09
0.0140522,1.72317e-05,2.42144e-07,3.91943e-07,5.50766e-09
0.0141006,1.63681e-05,2.308e-07,3.73582e-07,5.26773e-09
0.0141491,1.68581e-05,2.38527e-07,3.86088e-07,5.4628e-09
0.0141978,1.64841e-05,2.34038e-07,3.78823e-07,5.37846e-09
0.0142467,1.63785e-05,2.3334e-07,3.77693e-07,5.38088e-09
0.0142957,1.5564e-05,2.22499e-07,3.60145e-07,5.14853e-09
0.014345,1.65439e-05,2.37322e-07,3.84138e-07,5.51046e-09
0.0143943,1.65221e-05,2.37824e-07,3.8495e-07,5.54109e-09
0.0144439,1.60614e-05,2.31989e-07,3.75507e-07,5.42379e-09
0.0144936,1.60966e-05,2.33297e-07,3.77624e-07,5.47313e-09
0.0145435,1.60583e-05,2.33544e-07,3.78024e-07,5.49779e-09
0.0145936,1.59242e-05,2.32392e-07,3.76158e-07,5.4895e-09
0.0146438,1.50738e-05,2.20738e-07,3.57294e-07,5.23215e-09
0.0146942,1.53464e-05,2.25503e-07,3.65007e-07,5.36349e-09
0.0147448,1.51839e-05,2.23884e-07,3.62387e-07,5.34332e-09
0.0147955,1.65333e-05,2.44618e-07,3.95948e-07,5.85824e-09
0.0148465,1.54776e-05,2.29788e-07,3.71944e-07,5.52207e-09
0.0148976,1.60511e-05,2.39123e-07,3.87054e-07,5.76617e-09
0.0149488,9.71849e-05,1.4528e-06,2.35155e-06,3.51529e-08
0.0150003,1.62843e-05,2.4427e-07,3.95384e-07,5.93088e-09
0.0150519,1.60342e-05,2.41345e-07,3.90649e-07,5.88002e-09
0.0151038,1.64088e-05,2.47835e-07,4.01155e-07,6.05896e-09
0.0151557,1.68224e-05,2.54956e-07,4.12681e-07,6.25448e-09
0.0152079,1.58115e-05,2.40459e-07,3.89217e-07,5.91917e-09
0.0152603,1.67133e-05,2.5505e-07,4.12833e-07,6.29996e-09
0.0153128,1.53396e-05,2.34892e-07,3.80206e-07,5.82202e-09
0.0153655,1.53592e-05,2.36002e-07,3.82002e-07,5.86965e-09
0.0154184,1.51329e-05,2.33325e-07,3.77669e-07,5.82305e-09
0.0154715,1.55365e-05,2.40374e-07,3.89078e-07,6.01962e-09
0.0155247,1.57779e-05,2.44947e-07,3.9648e-07,6.15523e-09
0.0155782,1.60399e-05,2.49873e-07,4.04454e-07,6.30067e-09
0.0156318,1.5426e-05,2.41136e-07,3.90313e-07,6.10129e-09
0.0156856,1.52674e-05,2.39478e-07,3.87628e-07,6.08017e-09
0.0157396,1.5305e-05,2.40895e-07,3.89922e-07,6.13722e-09
0.0157938,1.52873e-05,2.41445e-07,3.90812e-07,6.1724e-09
0.0158481,1.59339e-05,2.52522e-07,4.08741e-07,6.47777e-09
0.0159027,1.54866e-05,2.46278e-07,3.98635e-07,6.33938e-09
0.0159574,1.4489e-05,2.31206e-07,3.74239e-07,5.97189e-09
0.0160124,1.46977e-05,2.35345e-07,3.80938e-07,6.09973e-09
0.0160675,1.55731e-05,2.50221e-07,4.05017e-07,6.50762e-09
0.0161228,1.49868e-05,2.41629e-07,3.91109e-07,6.30578e-09
0.0161783,0.00147331,2.38357e-05,3.85814e-05,6.24181e-07
0.016234,2.93589e-05,4.76613e-07,7.71463e-07,1.25239e-08
0.0162898,4.4045e-05,7.17484e-07,1.16135e-06,1.89181e-08
0.0163459,2.66747e-05,4.36023e-07,7.05763e-07,1.15363e-08
0.0164022,2.63196e-05,4.317e-07,6.98765e-07,1.14613e-08
0.0164586,3.28291e-05,5.40322e-07,8.74585e-07,1.43944e-08
0.0165153,2.39259e-05,3.95144e-07,6.39594e-07,1.05631e-08
0.0165722,2.529e-05,4.19111e-07,6.7839e-07,1.12424e-08
0.0166292,2.21459e-05,3.68268e-07,5.96093e-07,9.91254e-09
0.0166864,2.19454e-05,3.66189e-07,5.92727e-07,9.89049e-09
0.0167439,2.17402e-05,3.64016e-07,5.8921e-07,9.86567e-09
0.0168015,2.9223e-05,4.9099e-07,7.94736e-07,1.33527e-08
0.0168593,6.99656e-05,1.17957e-06,1.9093e-06,3.21895e-08
0.0169174,2.68388e-05,4.54043e-07,7.34931e-07,1.24331e-08
0.0169756,2.29038e-05,3.88806e-07,6.29335e-07,1.06833e-08
0.0170341,2.57233e-05,4.38173e-07,7.09244e-07,1.20813e-08
0.0170927,2.26092e-05,3.86451e-07,6.25525e-07,1.06919e-08
0.0171515,2.2402e-05,3.84228e-07,6.21925e-07,1.0667e-08
0.0172106,2.45262e-05,4.2211e-07,6.83244e-07,1.1759e-08
0.0172698,2.15619e-05,3.7237e-07,6.02733e-07,1.04091e-08
0.0173293,2.38703e-05,4.13656e-07,6.6956e-07,1.1603e-08
