y_keV_per_um,f_y,yf_y,d_y,yd_y
0.104875,0.375455,0.0393759,0.0265993,0.0027896
0.1151,0.390405,0.0449357,0.0303551,0.00349387
0.126322,0.403979,0.0510315,0.0344729,0.0043547
0.138638,0.420998,0.0583665,0.0394279,0.00546622
0.152156,0.439588,0.0668857,0.0451828,0.00687481
0.166991,0.458586,0.0765795,0.0517312,0.00863861
0.183272,0.478988,0.0877851,0.0593008,0.0108682
0.201141,0.499642,0.100498,0.0678889,0.0136552
0.220752,0.52158,0.11514,0.0777793,0.0171699
0.242275,0.546184,0.132327,0.0893896,0.0216568
0.265896,0.568642,0.1512,0.102139,0.0271583
0.291821,0.594126,0.173378,0.117121,0.0341783
0.320273,0.642039,0.205628,0.138906,0.0444879
0.351499,0.644715,0.226617,0.153085,0.0538091
0.38577,0.664999,0.256537,0.173296,0.0668525
0.423382,0.683854,0.289532,0.195585,0.0828072
0.464661,0.698015,0.32434,0.219099,0.101807
0.509965,0.704389,0.359214,0.242657,0.123746
0.559686,0.703304,0.393629,0.265905,0.148824
0.614255,0.692459,0.425346,0.287331,0.176494
0.674144,0.669348,0.451237,0.30482,0.205493
0.739872,0.640216,0.473678,0.31998,0.236744
0.812009,0.587445,0.47701,0.322231,0.261654
0.891178,0.533002,0.475,0.320873,0.285955
0.978067,0.473942,0.463547,0.313136,0.306268
1.07343,0.413741,0.444121,0.300014,0.322043
1.17809,0.369685,0.435521,0.294204,0.346597
1.29295,0.304224,0.393346,0.265714,0.343554
1.41901,0.258881,0.367354,0.248156,0.352135
1.55736,0.220083,0.342748,0.231534,0.360582
1.7092,0.186426,0.31864,0.215248,0.367903
1.87585,0.157021,0.294548,0.198974,0.373244
2.05874,0.131184,0.270074,0.182441,0.375599
2.25946,0.108708,0.245621,0.165923,0.374896
2.47976,0.0897412,0.222536,0.150328,0.372778
2.72153,0.0736277,0.20038,0.135361,0.368389
2.98688,0.0603062,0.180127,0.12168,0.363442
3.27809,0.0491378,0.161078,0.108812,0.356696
3.5977,0.0399668,0.143789,0.0971324,0.349453
3.94847,0.033504,0.13229,0.0893647,0.352854
4.33345,0.0260476,0.112876,0.0762502,0.330426
4.75595,0.0209184,0.0994869,0.0672056,0.319627
5.21965,0.0167321,0.0873359,0.0589973,0.307945
5.72856,0.0132985,0.0761812,0.0514621,0.294804
6.28709,0.0104442,0.0656634,0.0443571,0.278877
6.90007,0.00803713,0.0554567,0.0374623,0.258492
7.57282,0.00604904,0.0458083,0.0309445,0.234337
8.31116,0.00435141,0.0361652,0.0244304,0.203045
9.12149,0.00296493,0.0270445,0.0182692,0.166642
10.0108,0.00192459,0.0192667,0.0130151,0.130292
10.9869,0.00121263,0.013323,0.009,0.0988818
12.0581,0.000768048,0.00926118,0.00625613,0.0754369
13.2337,0.000499995,0.00661679,0.00446979,0.0591519
14.524,0.000345606,0.00501958,0.00339084,0.0492485
15.9401,0.000230947,0.0036813,0.0024868,0.0396398
17.4942,0.000165736,0.00289942,0.00195862,0.0342645
19.1999,0.000120599,0.00231548,0.00156416,0.0300316
21.0718,8.84013e-05,0.00186278,0.00125835,0.0265157
23.1263,6.51101e-05,0.00150576,0.00101717,0.0235234
25.3811,4.77893e-05,0.00121294,0.00081937,0.0207965
27.8557,3.49647e-05,0.000973966,0.000657936,0.0183273
30.5716,2.54861e-05,0.000779151,0.000526334,0.0160909
33.5523,1.85726e-05,0.000623153,0.000420954,0.014124
36.8236,1.34992e-05,0.000497089,0.000335795,0.0123652
40.4139,9.86514e-06,0.000398688,0.000269323,0.0108844
44.3542,7.23772e-06,0.000321023,0.000216858,0.00961856
48.6786,5.53057e-06,0.000269221,0.000181865,0.00885292
53.4247,3.97483e-06,0.000212354,0.00014345,0.00766378
58.6336,2.97437e-06,0.000174398,0.00011781,0.00690761
64.3503,2.17123e-06,0.000139719,9.43835e-05,0.00607361
70.6244,1.60004e-06,0.000113002,7.63353e-05,0.00539113
77.5102,1.20479e-06,9.33834e-05,6.30826e-05,0.00488954
85.0673,9.01727e-07,7.67075e-05,5.18176e-05,0.00440798
93.3613,6.62183e-07,6.18222e-05,4.17623e-05,0.00389898
102.464,4.56368e-07,4.67612e-05,3.15882e-05,0.00323665
112.454,2.60003e-07,2.92383e-05,1.97512e-05,0.0022211
123.418,4.05715e-08,5.00726e-06,3.38252e-06,0.000417464
135.451,1.16048e-09,1.57189e-07,1.06185e-07,1.43828e-05
148.658,4.39381e-10,6.53173e-08,4.41233e-08,6.55926e-06
163.151,2.07545e-10,3.38612e-08,2.2874e-08,3.73193e-06
179.059,5.40066e-11,9.67034e-09,6.53253e-09,1.1697e-06
196.516,3.24393e-11,6.37487e-09,4.30636e-09,8.46271e-07
215.677,2.37724e-11,5.12715e-09,3.4635e-09,7.46997e-07
236.705,2.18128e-12,5.16319e-10,3.48785e-10,8.2559e-08
259.783,1.57012e-12,4.07891e-10,2.75539e-10,7.15805e-08
285.112,0,0,0,0
312.91,0,0,0,0
343.418,0,0,0,0
376.901,0,0,0,0
413.648,0,0,0,0
453.979,0,0,0,0
498.241,0,0,0,0
546.819,0,0,0,0
600.133,0,0,0,0
658.645,0,0,0,0
722.862,0,0,0,0
793.34,0,0,0,0
870.69,0,0,0,0
955.581,0,0,0,0
